CC(C)CNC(C(=O)O)c1cccc(Cl)c1Cl MolPort-011-442-061
CCNc1cc(COC)nc(C2SCCSC2CC)n1 MolPort-030-318-336
CCCc1oc2c(c1-c1n[nH]c(=S)n1CC)CC(C)CC2 MolPort-022-776-787
COc1ncc(Cl)c(N2C3CCC2CC(O)C3)n1 MolPort-023-661-769
COC(=O)c1sccc1S(=O)(=O)Nc1cc(C)ccc1C MolPort-005-281-921
NCCCCc1c(Cl)ccc2cnccc12 MolPort-022-129-371
CCc1ccc(C(=O)NC2CCC(C(=O)O)CC2)o1 MolPort-012-964-172
CNCc1ncnn1Cc1ccc(F)cc1C MolPort-034-498-243
COc1ccc(NC(=O)C2COCCN2C(=O)OC(C)(C)C)cc1F MolPort-035-839-740
CC(CNC(=O)N1CCN(C(C)C(F)(F)F)CC1)Cn1cccn1 MolPort-027-678-095
COc1cc(-c2cc(O)cc(F)c2)ccc1C(=O)O MolPort-015-152-911
CC(Cn1cncn1)NC(=O)N1C[C@H]2CCCC[C@H]2C1 MolPort-040-574-752
CC(=O)NC1=NN(C(C)=O)C(c2ccc(-c3cccc(C(=O)O)c3)o2)S1 MolPort-007-698-698
CC1CC(C(=O)N2CCC3(CC(=O)N(c4ccc(C#N)cc4)C3)C2)C1 313811229
O=C(Nc1cc(Cl)ccc1Cl)n1ccnc1 MolPort-024-171-234
CC(C)CC(C)Nc1cc(-n2cnnn2)ccc1F MolPort-014-479-162
CC(C)(O)c1ccc(C2CCOC2)c(Cl)c1 MolPort-037-720-545
CCC1CCc2nc3cc(F)c(Br)cc3c(C(=O)O)c2C1 MolPort-012-295-246
COC(=O)NCC(=O)N(C)C1c2ccccc2-c2ccccc21 MolPort-028-305-727
Cc1n[nH]c(S(=O)(=O)N(C)C2CCSC2)c1CO MolPort-027-273-492
Cc1cccc(-c2nc(CN)c(Cl)s2)c1 MolPort-022-395-211
CC(C)N(Cc1ccccc1)C(=O)C(=O)Nc1cccc(Br)c1 MolPort-037-070-171
Cc1ccc(C)c(C(C)NCc2cncc(Br)c2)c1 MolPort-033-382-718
COC1(C)CC(N(C)C(=O)CCC2CCNC2)C1(C)C.Cl MolPort-041-346-819
Cc1cc(NS(=O)(=O)c2ccc(CCN)cc2)no1 MolPort-011-699-545
CSCCC1Nc2c(cnc3ccccc23)NC1=O MolPort-031-765-211
Cc1ccc(N2CC(=O)NC(CC(C)C)C2=O)c(Cl)c1 MolPort-026-501-886
CC(C)(N)C(C)(C)c1nc(-c2ccc(F)cc2)no1 MolPort-026-801-915
COC(=O)c1c(CO)ccc(Br)c1C 313329722
CC(C)(Oc1ccc(F)c(F)c1)C(=O)Nc1ccc(F)cc1 340205714
CN(C)C(CNc1ccc(C#N)cc1CO)c1ccco1 MolPort-045-737-604
OC(CN1CCN(c2ccccc2F)CC1)c1ccc2c(c1)OCCCO2 MolPort-008-283-559
CC(OC(=O)c1c(F)cccc1Cl)C(=O)NC(=O)NC(C)(C)C MolPort-007-029-571
O=C(O)C(CS(=O)C1CCCCC1)c1ccccc1 MolPort-021-345-575
Cc1ccc(C(C)C)c(OC(CN)c2ccccc2Cl)c1 MolPort-012-439-345
O=c1cc(CNC2CC2)nc(CC(F)(F)F)[nH]1 MolPort-021-220-256
Cc1ccc(NC(=O)CN(C)S(=O)(=O)N2CCCCC2C)nc1 MolPort-019-680-949
COc1cc(C(N)c2cc(C)cc(F)c2)cc(Cl)c1OC MolPort-025-770-560
OC(c1ccc(SC(F)(F)F)cc1)C1CCOCC1 MolPort-020-713-276
O=C(Nc1cnccc1C(=O)O)c1cc(F)cc(F)c1 MolPort-021-178-506
CCC[C@@H](O)c1cc(Br)ccc1F MolPort-035-206-114
CNCc1sc(C2CC2C)nc1COC MolPort-034-547-167
COc1ccc(CN(C)CC2(C(=O)O)CCOCC2)cc1 MolPort-011-539-309
COC[C@@H]1[C@H](NC(=O)c2cccnc2)[C@@H]2CCO[C@H]12 MolPort-038-391-417
CNC1C(=O)Nc2cc(OCCC(F)(F)F)ccc21 MolPort-031-151-961
CCCc1c(C(=O)NCC)cnn1-c1cccc(OC)c1O 324311788
CCN(CC)c1ccc(CNCC2(C)CCOCC2)cc1 MolPort-038-605-819
COc1c(C2(N)CCC2)cc(F)c(SC)c1OC MolPort-037-801-721
CCNc1ncc(C)c(-c2ccc(C(F)(F)F)cc2)n1 MolPort-026-204-201
CC1(Nc2cccnc2C#N)CCS(=O)(=O)C1 MolPort-024-491-502
N#CC1CCC(NC(=O)c2cc(Cl)nc(Cl)c2)C1 Z2407897641
Cc1nn(C)c(C)c1S(=O)(=O)N1CCC(C)C1C(=O)O MolPort-038-667-235
CC(C)CCN(C)Cc1oc2ccccc2c1C(=O)O MolPort-012-740-552
Cc1oc2ncnc(N3CCOCC3)c2c1C(=O)NC(C)C MolPort-007-774-005
Cl.NCC1CCCN1Cc1cccc(C(N)=O)c1 MolPort-040-952-059
CCn1nc(CNC2CCC(C)C(C)C2)c2ccccc21 MolPort-027-387-696
Cc1cccc(NC(=O)N2CCN(C(=O)C(C)Oc3ccccc3)CC2)c1 MolPort-016-021-020
O=C(NC1CCCN(c2ncccn2)C1)c1ccncc1 MolPort-009-559-386
CC1CN(C(=O)Cc2c(F)cccc2Cl)CC1N MolPort-041-000-556
O=C(O)c1ccc(Nc2ccc(Cl)cc2C(F)(F)F)nn1 MolPort-011-908-508
COC(=O)c1scc(C)c1NC(=O)c1cncc(F)c1 MolPort-035-229-073
COc1ccc(CC(=O)N2CCN(C(=O)NC(C)(C)C)CC2)cc1 MolPort-037-212-866
CC1CCCC(Oc2nc(N)nc(-n3cncn3)n2)C1 MolPort-023-774-481
CNCC1CCCN(CCCc2ccc(C)cc2)C1 MolPort-003-752-988
Cc1ccc(NC(=O)C2CCC(N)C2)cc1N1CCCS1(=O)=O.Cl MolPort-042-084-647
Cc1cc(C)c(N2CCN(C(=O)CCOc3ccccc3O)CC2)cc1C MolPort-002-504-787
CCCNC(Cc1nccs1)c1cscc1C MolPort-026-300-063
COc1ccc(CNc2ccc(OC)cc2)cc1 MolPort-001-028-555
CC(C(=O)N1CCCCC1)n1cnc2c1CCNC2 MolPort-032-239-567
CCN(CC)CC(C)N1Cc2ccccc2C1=N MolPort-014-848-055
CC(N)Cc1cccc(F)c1OCc1cc(F)cc(F)c1 MolPort-033-269-265
OC(CNc1c(F)cc(F)cc1F)c1ccccc1Cl MolPort-027-207-919
CCC(CC)(CNC)CC1Cc2cc(F)ccc2O1 MolPort-024-994-172
Cc1ccc(OCc2ccccc2Cl)c(CO)c1 MolPort-014-402-769
NC(=S)c1cc(F)ccc1COc1c(Cl)cccc1Cl MolPort-014-370-688
Cc1nn(CC(=O)OC2CCC(C)CC2)c(C)c1N MolPort-012-783-239
Cc1cccc(-c2nc(CCC(=O)N3CCCCCC3)cs2)c1 MolPort-008-907-856
Cc1ncsc1CN(C)c1cc(CO)ccn1 MolPort-016-569-893
O=C(O)CN(Cc1ccc(Cl)cc1F)C1CC1 MolPort-035-151-135
COc1c(C)cc(CN(C)Cc2csc(NC(C)=O)n2)cc1C MolPort-019-679-832
CC(C)(Cc1cc(Cl)cc(C(F)(F)F)c1)C(=O)O MolPort-036-873-335
